Ref,B0,R1,Hct,fwatere,so2,po2,P50,Refnumber,
Dobre et al,9,0.4117,0.53,0.469026549,0.8,73.52547831,44,4,
Pilkinton et al,3,0.613,0.427,0.363669546,0.900041,99.3,44,6,
Pilkinton et al,3,0.61,0.427,0.363669546,0.967318,154.3,44,6,
Pilkinton et al,3,0.624,0.427,0.363669546,0.992357,266.8,44,6,
Pilkinton et al,3,0.642,0.427,0.363669546,0.997221,388.8,44,6,
Pilkinton et al,3,0.66,0.427,0.363669546,0.998598,501.2,44,6,
Blockley et al,1.5,0.68,0.435,0.371568029,0.89,54.22946413,25,7,
Blockley et al,1.5,0.67,0.435,0.371568029,0.85,47.52807838,25,7,
Blockley et al,1.5,0.67,0.435,0.371568029,0.85,47.52807838,25,7,
Blockley et al,1.5,0.64,0.435,0.371568029,0.83,44.97672716,25,7,
Blockley et al,1.5,0.64,0.435,0.371568029,0.82,43.83734178,25,7,
Blockley et al,1.5,0.71,0.435,0.371568029,0.72,35.46961522,25,7,
Blockley et al,1.5,0.68,0.435,0.371568029,0.64,30.93764281,25,7,
Blockley et al,1.5,0.68,0.435,0.371568029,0.56,27.33574278,25,7,
Blockley et al,1.5,0.68,0.435,0.371568029,0.56,27.33574278,25,7,
Blockley et al,1.5,0.78,0.435,0.371568029,0.54,26.5296239,25,7,
Blockley et al,1.5,0.67,0.435,0.371568029,0.52,25.75223121,25,7,
Blockley et al,3,0.6,0.435,0.371568029,0.89,54.22946413,25,7,
Blockley et al,3,0.57,0.435,0.371568029,0.86,48.96988132,25,7,
Blockley et al,3,0.6,0.435,0.371568029,0.85,47.52807838,25,7,
Blockley et al,3,0.54,0.435,0.371568029,0.83,44.97672716,25,7,
Blockley et al,3,0.6,0.435,0.371568029,0.82,43.83734178,25,7,
Blockley et al,3,0.59,0.435,0.371568029,0.72,35.46961522,25,7,
Blockley et al,3,0.64,0.435,0.371568029,0.64,30.93764281,25,7,
Blockley et al,7,0.49,0.435,0.371568029,0.89,54.22946413,25,7,
Blockley et al,7,0.46,0.435,0.371568029,0.86,48.96988132,25,7,
Blockley et al,7,0.51,0.435,0.371568029,0.85,47.52807838,25,7,
Blockley et al,7,0.51,0.435,0.371568029,0.83,44.97672716,25,7,
Blockley et al,7,0.47,0.435,0.371568029,0.82,43.83734178,25,7,
Blockley et al,7,0.52,0.435,0.371568029,0.72,35.46961522,25,7,
Blockley et al,7,0.52,0.435,0.371568029,0.64,30.93764281,25,7,
Blockley et al,7,0.52,0.435,0.371568029,0.56,27.33574278,25,7,
Blockley et al,7,0.53,0.435,0.371568029,0.56,27.33574278,25,7,
Blockley et al,7,0.53,0.435,0.371568029,0.53,26.13756935,25,7,
Blockley et al,7,0.51,0.435,0.371568029,0.52,25.75223121,25,7,
Hueckel et al,1.5,0.7877,0.6,0.525,0.98792,127.735,25,8,
Hueckel et al,1.5,0.792,0.6,0.525,0.99295,156.234,25,8,
Hueckel et al,1.5,0.8348,0.6,0.525,0.99878,299.746,25,8,
Hueckel et al,1.5,0.859,0.6,0.525,0.99932,372.01,25,8,
Hueckel et al,1.5,0.8561,0.6,0.525,0.99934,376.081,25,8,
Hueckel et al,1.5,0.8618,0.6,0.525,0.99936,380.153,25,8,
Hueckel et al,1.5,0.9231,0.6,0.525,0.99972,519.593,25,8,
Hueckel et al,1.5,0.9943,0.6,0.525,0.99984,635.623,25,8,
Hueckel et al,1.5,0.99,0.6,0.525,0.99989,730.28,25,8,
Hueckel et al,1.5,0.5385,0,0,0.99537,182.697,25,8,
Hueckel et al,1.5,0.5513,0,0,0.99872,294.656,25,8,
Hueckel et al,1.5,0.5969,0,0,0.99945,403.562,25,8,
Hueckel et al,1.5,0.6296,0,0,0.99954,431.043,25,8,
Hueckel et al,1.5,0.6311,0,0,0.9997,502.29,25,8,
Hueckel et al,1.5,0.6467,0,0,0.99983,620.356,25,8,
